date,wm_yr_wk,d
2011-01-29,11101,d_1
2011-01-30,11101,d_2
2011-01-31,11101,d_3
2011-02-01,11101,d_4
2011-02-02,11101,d_5
2011-02-03,11101,d_6
2011-02-04,11101,d_7
2011-02-05,11102,d_8
2011-02-06,11102,d_9
2011-02-07,11102,d_10
2011-02-08,11102,d_11
2011-02-09,11102,d_12
2011-02-10,11102,d_13
2011-02-11,11102,d_14
2011-02-12,11103,d_15
2011-02-13,11103,d_16
2011-02-14,11103,d_17
2011-02-15,11103,d_18
2011-02-16,11103,d_19
2011-02-17,11103,d_20
2011-02-18,11103,d_21
2011-02-19,11104,d_22
2011-02-20,11104,d_23
2011-02-21,11104,d_24
2011-02-22,11104,d_25
2011-02-23,11104,d_26
2011-02-24,11104,d_27
2011-02-25,11104,d_28
2011-02-26,11105,d_29
2011-02-27,11105,d_30
2011-02-28,11105,d_31
2011-03-01,11105,d_32
2011-03-02,11105,d_33
2011-03-03,11105,d_34
2011-03-04,11105,d_35
2011-03-05,11106,d_36
2011-03-06,11106,d_37
2011-03-07,11106,d_38
2011-03-08,11106,d_39
2011-03-09,11106,d_40
2011-03-10,11106,d_41
2011-03-11,11106,d_42
2011-03-12,11107,d_43
2011-03-13,11107,d_44
2011-03-14,11107,d_45
2011-03-15,11107,d_46
2011-03-16,11107,d_47
2011-03-17,11107,d_48
2011-03-18,11107,d_49
2011-03-19,11108,d_50
2011-03-20,11108,d_51
2011-03-21,11108,d_52
2011-03-22,11108,d_53
2011-03-23,11108,d_54
2011-03-24,11108,d_55
2011-03-25,11108,d_56
2011-03-26,11109,d_57
2011-03-27,11109,d_58
2011-03-28,11109,d_59
2011-03-29,11109,d_60
2011-03-30,11109,d_61
2011-03-31,11109,d_62
2011-04-01,11109,d_63
2011-04-02,11110,d_64
2011-04-03,11110,d_65
2011-04-04,11110,d_66
2011-04-05,11110,d_67
2011-04-06,11110,d_68
2011-04-07,11110,d_69
2011-04-08,11110,d_70
2011-04-09,11111,d_71
2011-04-10,11111,d_72
2011-04-11,11111,d_73
2011-04-12,11111,d_74
2011-04-13,11111,d_75
2011-04-14,11111,d_76
2011-04-15,11111,d_77
2011-04-16,11112,d_78
2011-04-17,11112,d_79
2011-04-18,11112,d_80
2011-04-19,11112,d_81
2011-04-20,11112,d_82
2011-04-21,11112,d_83
2011-04-22,11112,d_84
2011-04-23,11113,d_85
2011-04-24,11113,d_86
2011-04-25,11113,d_87
2011-04-26,11113,d_88
2011-04-27,11113,d_89
2011-04-28,11113,d_90
2011-04-29,11113,d_91
2011-04-30,11114,d_92
2011-05-01,11114,d_93
2011-05-02,11114,d_94
2011-05-03,11114,d_95
2011-05-04,11114,d_96
2011-05-05,11114,d_97
2011-05-06,11114,d_98
2011-05-07,11115,d_99
2011-05-08,11115,d_100
